,EventName,Regex
1,Astronomical Low Tide,.*astronomical low tide.*
2,Avalanche,.*avalanche.*
3,Blizzard,.*blizzard.*
4,Coastal Flood,(^(?=.*(coast|cstl).*).*flood.*)|.*erosion.*
5,Cold/Wind Chill,^(?!.*(excessive|extreme|record|severe|unusual|bitter|unseasona|frost|snow)).*(chill|cold|cool).*
6,Debris Flow,.*debris.*
7,Dense Fog,^(?!.*(burst|cool|warm))(.*dense.*fog.*|.*fog.*dense.*|.*wet.*)
8,Dense Smoke,.*smoke.*
9,Drought,^(?!.*(burst|drizzle|snow|heat|hot|warm)).*(drought|dr[iy]).*|(.*below.*precipitation.*)|.*low.*rain.*
10,Dust Devil,^(?!.*waterspout).*dev[ei]l.*
11,Dust Storm,^(?!.*dev[ei]l).*dust.*
12,Excessive Heat,^(?!.*(chill|cold|low)).*(excessive|extreme|record|unseasona|abnorm|unusual).*(heat|temp|high|warm|hot).*|.*temperature.*record.*
13,Extreme Cold/Wind Chill,^(?!.*rain).*(excessive|extreme|record|severe|unusual|bitter|unseasona).*(chill|cold|cool|low).*
14,Flash Flood,.*flash.*flood.*|.*flood.*flash.*|.*(slide|slump).*|.*ris.*water.*|.*water.*ris.*
15,Flood,^(?!.*(flash|coast|cstl|lakeshore|slide)).*(flood|fld).*|.*dam.*break.*|.*drown.*
16,Frost/Freeze,^(?!.*(fog|rain|drizzle|precip)).*(frost|freez).*
17,Funnel Cloud,.*funnel.*cloud.*|.*cloud.*funnel.*
18,Freezing Fog,^(?!.*dense).*fog.*
19,Hail,^(?!.*(marine|thunderstorm|tstm)).*hail.*
20,Heat,^(?!.*(excessive|extreme|record|unseasona|abnorm|unusual|chill|cold|burst)).*(heat|warm|hot|thermia|temp).*
21,Heavy Rain,^(?!.*(snow|below|mix|sleet|low|tstm)).*(rain|precipitation|drizzle).*
22,Heavy Snow,^(?!.*(snowmelt|storm|lake|flood|fog|sleet)).*(snow|ic[ey]).*
23,High Surf,^(?!.*(flood|rain)).*surf.*
24,High Wind,^(?!.*marine).*high.*wind.*
25,Hurricane (Typhoon),.*(hurricane|typhoon|floyd).*
26,Ice Storm,^(?!.*blizzard).*ice.*storm.*|.*glaze.*
27,Lake-Effect Snow,.*lake.*effect.*
28,Lakeshore Flood,.*lakeshore.*
29,Lightning,^(?!.*(snow|rain|tstm)).*light.*
30,Marine Hail,.*marine.*hail.*|.*hail.*marine.*
31,Marine High Wind,^(?=.*marine).*high.*wind.*
32,Marine Strong Wind,(^(?=.*marine).*strong.*wind.*)|(^(?!.*(drought|surf)).*(swell|rough).*)
33,Marine Thunderstorm Wind,^(?=.*marine).*(thunderstorm|tstm|accident).*
34,Rip Current,.*rip.*
35,Seiche,.*seiche.*
36,Sleet,^(?!.*winter).*(sleet|mix).*
37,Storm Surge/Tide,^(?!astronomical low).*(surge|tide).*|.*high.*water.*|.*coast.*storm.*|.*(high|heavy).*sea.*|.*metro.*
38,Strong Wind,^(?!.*(marine|thunderstorm|tstm|burst|gustnado|high|extreme|chill|heat|hail|rain|surf|flood)).*(wind|wnd|gust|wave).*
39,Thunderstorm Wind,^(?!.*marine).*(thunderstorm|tstm|burst|gustnado).*
40,Tornado,^(?!.*(debris|funnel)).*(tornado|landspout|cloud).*
41,Tropical Depression,.*depression.*
42,Tropical Storm,^(?!.*depression).*tropical.*
43,Tsunami,.*tsunami.*
44,Volcanic Ash,.*(volcanic|vog).*
45,Waterspout,.*waterspout.*
46,Wildfire,.*fire.*|(.*red.*flag.*)
47,Winter Storm,^(?=.*storm).*winter.*
48,Winter Weather,^(?!.*(storm|snow)).*winter.*
