,EVTYPE,Total_Prop_Damage,Total_Crop_Damage,Total_Damage
1,TSTM WIND,1330706.91,109110.6,1439817.51
2,FLASH FLOOD,1247562.54,161066.71,1408629.25
3,TORNADO,1187838.23,90128.5,1277966.73
4,HAIL,575317.28,498339.12,1073656.4
5,FLOOD,824936.71,151826.18,976762.89
6,THUNDERSTORM WIND,862257.36,66663,928920.36
7,LIGHTNING,488561.85,1903.44,490465.29
8,HIGH WIND,315098.06,17268.21,332366.27
9,WINTER STORM,126900.49,1963.99,128864.48
10,HEAVY SNOW,89393.11,1591.7,90984.81
11,WILDFIRE,83007.34,4364.2,87371.54
12,STRONG WIND,62493.81,1616.9,64110.71
13,ICE STORM,57976.67,225.45,58202.12
14,HEAVY RAIN,47002.84,10977.71,57980.55
15,TROPICAL STORM,47807.82,5264.12,53071.94
16,WILD/FOREST FIRE,39307.94,4185.03,43492.97
17,DROUGHT,4094.05,33293.62,37387.67
18,URBAN/SML STREAM FLD,26051.94,2793.8,28845.74
19,BLIZZARD,21633.48,67,21700.48
20,HURRICANE,14958.68,4839.31,19797.99
21,STORM SURGE,19263.49,5,19268.49
22,LANDSLIDE,18943.94,37,18980.94
23,LAKE-EFFECT SNOW,14141,0,14141
24,TSTM WIND/HAIL,8356.5,4356.65,12713.15
25,WINTER WEATHER,11974.9,15,11989.9
26,RIVER FLOOD,9792.5,1875,11667.5
27,HURRICANE/TYPHOON,5839.37,4798.48,10637.85
28,COASTAL FLOOD,10634.64,0,10634.64
29,EXTREME COLD,4635.54,5617.64,10253.18
30,FOG,8849.8,0,8849.8
31,FROST/FREEZE,968.52,7034.14,8002.66
32,STORM SURGE/TIDE,6777.05,850,7627.05
33,DUST STORM,4974.5,1601.5,6576
34,DENSE FOG,5870.45,0,5870.45
35,WATERSPOUT,5730.2,0,5730.2
36,WINTER WEATHER/MIX,4873.5,0,4873.5
37,EXTREME COLD/WIND CHILL,2654,50,2704
38,COLD/WIND CHILL,1990,600,2590
39,MARINE TSTM WIND,2424,0,2424
40,TYPHOON,1429.4,825,2254.4
41,HIGH SURF,1986.12,0,1986.12
42,EXCESSIVE SNOW,1935,0,1935
43,EXCESSIVE HEAT,1430,494.4,1924.4
44,LIGHT SNOW,1918,0,1918
45,SMALL HAIL,70,1732.08,1802.08
46,DRY MICROBURST,1732.6,15,1747.6
47,AVALANCHE,1613.9,0,1613.9
48,WIND,1240.54,300,1540.54
49,River Flooding,270.99,1206.84,1477.83
50,COASTAL FLOODING,1430.15,0,1430.15
51,HEAVY SURF/HIGH SURF,1378.5,0,1378.5
52,HEAVY SURF,1340,0,1340
53,FREEZE,200,820.55,1020.55
54,SEICHE,980,0,980
55,Gusty Winds,938,0,938
56,STRONG WINDS,935.99,0,935.99
57,ASTRONOMICAL HIGH TIDE,933.5,0,933.5
58,Coastal Flood,926,0,926
59,TSUNAMI,905.3,20,925.3
60,Coastal Flooding,860.47,0,860.47
61,EXTREME WINDCHILL,755,17,772
62,COASTAL EROSION,766,0,766
63,TROPICAL DEPRESSION,738,0,738
64,SNOW,720.77,0,720.77
65,DUST DEVIL,645.33,0,645.33
66,FREEZING RAIN,591,0,591
67,Light Snow,590,0,590
68,Landslump,570,0,570
69,MIXED PRECIPITATION,555,0,555
70,RAIN,300,250,550
71,GUSTY WINDS,338,200,538
72,COLD,500,0,500
73,HIGH WINDS,500,0,500
74,VOLCANIC ASH,500,0,500
75,MARINE THUNDERSTORM WIND,436.4,50,486.4
76,LIGHT FREEZING RAIN,451,0,451
77,MARINE STRONG WIND,418.33,0,418.33
